valid_time,latitude,longitude,t2m,number,sp,tp
2024-01-06,48.0,1.5,277.81833,0,99723.17,1.0728836e-06
2024-01-06,48.0,1.75,277.8823,0,99845.67,1.66893e-06
2024-01-06,48.0,2.0,277.91013,0,99737.17,3.33786e-06
2024-01-06,48.0,2.25,277.978,0,99805.67,4.6491623e-06
2024-01-06,48.0,2.5,278.103,0,99849.42,7.5101852e-06
2024-01-07,49.5,1.5,276.19858,0,100283.44,6.0796738e-06
2024-01-07,49.5,1.75,275.868,0,100151.94,5.841255e-06
2024-01-07,49.5,2.0,275.72055,0,100337.19,8.106232e-06
2024-01-07,49.5,2.25,275.6981,0,100654.69,7.5101852e-06
2024-01-07,49.5,2.5,275.71127,0,100867.19,6.4373016e-06
2024-01-07,49.25,1.5,276.64047,0,100844.19,4.4107437e-06
2024-01-07,49.25,1.75,276.30942,0,100716.44,4.053116e-06
2024-01-07,49.25,2.0,276.098,0,100714.19,5.6028366e-06
2024-01-07,49.25,2.25,276.02963,0,100805.69,6.4373016e-06
2024-01-07,49.25,2.5,276.035,0,100932.69,6.3180923e-06
2024-01-07,49.0,1.5,276.55502,0,100774.94,6.4373016e-06
2024-01-07,49.0,1.75,276.48764,0,100803.69,5.4836273e-06
2024-01-07,49.0,2.0,276.3973,0,100871.44,7.1525574e-06
2024-01-07,49.0,2.25,276.3524,0,100994.94,7.2717667e-06
2024-01-07,49.0,2.5,276.26254,0,101073.94,7.867813e-06
2024-01-07,48.75,1.5,276.35678,0,100355.19,6.3180923e-06
2024-01-07,48.75,1.75,276.3148,0,100423.94,6.0796738e-06
2024-01-07,48.75,2.0,276.24008,0,100490.94,8.940697e-06
2024-01-07,48.75,2.25,276.35825,0,100754.94,7.867813e-06
2024-01-07,48.75,2.5,276.4222,0,100871.94,6.3180923e-06
2024-01-07,48.5,1.5,276.23276,0,100046.19,6.3180923e-06
2024-01-07,48.5,1.75,276.27426,0,100213.19,5.4836273e-06
2024-01-07,48.5,2.0,276.34995,0,100415.19,6.4373016e-06
2024-01-07,48.5,2.25,276.46713,0,100660.44,6.7949295e-06
2024-01-07,48.5,2.5,276.5516,0,100808.19,6.556511e-06
2024-01-07,48.25,1.5,276.50766,0,100235.69,4.529953e-06
2024-01-07,48.25,1.75,276.53207,0,100377.69,4.6491623e-06
2024-01-07,48.25,2.0,276.5521,0,100477.69,5.841255e-06
2024-01-07,48.25,2.25,276.57895,0,100583.44,7.987022e-06
2024-01-07,48.25,2.5,276.577,0,100618.44,1.1444092e-05
2024-01-07,48.0,1.5,276.87485,0,100462.94,5.722046e-06
2024-01-07,48.0,1.75,276.87778,0,100584.69,6.198883e-06
2024-01-07,48.0,2.0,276.69174,0,100470.69,1.013279e-05
2024-01-07,48.0,2.25,276.66342,0,100532.94,1.2755394e-05
2024-01-07,48.0,2.5,276.66,0,100570.69,1.6212463e-05
2024-01-08,49.5,1.5,271.38898,0,100903.01,3.6239624e-05
2024-01-08,49.5,1.75,271.28302,0,100776.51,2.527237e-05
2024-01-08,49.5,2.0,271.3753,0,100974.51,1.4662743e-05
2024-01-08,49.5,2.25,271.5628,0,101305.01,9.179115e-06
2024-01-08,49.5,2.5,271.73468,0,101525.51,4.172325e-06
2024-01-08,49.25,1.5,271.82745,0,101455.76,4.553795e-05
2024-01-08,49.25,1.75,271.722,0,101333.26,3.4570694e-05
2024-01-08,49.25,2.0,271.78204,0,101336.51,2.2649765e-05
2024-01-08,49.25,2.25,271.8714,0,101433.01,1.2278557e-05
2024-01-08,49.25,2.5,272.0086,0,101565.01,5.9604645e-06
